Address,Price,Info_1,Info_2,Info_3,Info_4,Info_5,Info_6,Info_7,Info_8,Error
"20/9A Esplanade Road, Mount Eden, Auckland City",$360 per week,Unit,1,1,1,,,,,
"46 Montrose Street, Point Chevalier, Auckland City",$650 per week,House,2,1,2,,,,,
"1/351 Mount Eden Road, Mount Eden, Auckland City",$530 per week,House,2,1,,,,1 Separate toilet,,
"64 School Road, Kingsland, Auckland City",$750 per week,House,3,1,2,,,,,
"2E/25 Rutland Street, Auckland Central, Auckland City",$370 per week,Apartment,1,1,Non furnished,,,,,
,,,,,,,,,,"Message: timeout: Timed out receiving message from renderer: 258.238
  (Session info: chrome=118.0.5993.70)
Stacktrace:
0   chromedriver                        0x0000000100864510 chromedriver + 4310288
1   chromedriver                        0x000000010085c4bc chromedriver + 4277436
2   chromedriver                        0x000000010048fb6c chromedriver + 293740
3   chromedriver                        0x0000000100477f54 chromedriver + 196436
4   chromedriver                        0x0000000100477d60 chromedriver + 195936
5   chromedriver                        0x00000001004761ac chromedriver + 188844
6   chromedriver                        0x0000000100476e1c chromedriver + 192028
7   chromedriver                        0x00000001004863d0 chromedriver + 254928
8   chromedriver                        0x000000010049b140 chromedriver + 340288
9   chromedriver                        0x000000010047756c chromedriver + 193900
10  chromedriver                        0x000000010049af64 chromedriver + 339812
11  chromedriver                        0x000000010050ffac chromedriver + 819116
12  chromedriver                        0x00000001004c8fd0 chromedriver + 528336
13  chromedriver                        0x00000001004c9e7c chromedriver + 532092
14  chromedriver                        0x000000010082a834 chromedriver + 4073524
15  chromedriver                        0x000000010082e7fc chromedriver + 4089852
16  chromedriver                        0x000000010082ec58 chromedriver + 4090968
17  chromedriver                        0x00000001008348f8 chromedriver + 4114680
18  chromedriver                        0x000000010082f234 chromedriver + 4092468
19  chromedriver                        0x0000000100809604 chromedriver + 3937796
20  chromedriver                        0x000000010084bee8 chromedriver + 4210408
21  chromedriver                        0x000000010084c064 chromedriver + 4210788
22  chromedriver                        0x000000010085c134 chromedriver + 4276532
23  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
24  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
"4G/16 Market Place Viaduct, Auckland Central, Auckland City",$520 per week,Apartment,1,1,,,,1 Separate toilet,,
"29/139 Quay Street, Auckland Central, Auckland City",$790 per week,Apartment,1,1,Furnished,,,,,
"147 Quay Street, Auckland Central, Auckland City",$780 per week,Apartment,1,1,Furnished,,,,,
"174A White Swan Road, Mount Roskill, Auckland City",$695 per week,House,3,2,1,2,Non furnished,,,
"B3/15 Scanlan Street, Grey Lynn, Auckland City",$750 per week,Townhouse,2,1,1,Non furnished,,,,
,,,,,,,,,,"Message: timeout: Timed out receiving message from renderer: 260.897
  (Session info: chrome=118.0.5993.70)
Stacktrace:
0   chromedriver                        0x0000000100864510 chromedriver + 4310288
1   chromedriver                        0x000000010085c4bc chromedriver + 4277436
2   chromedriver                        0x000000010048fb6c chromedriver + 293740
3   chromedriver                        0x0000000100477f54 chromedriver + 196436
4   chromedriver                        0x0000000100477d60 chromedriver + 195936
5   chromedriver                        0x00000001004761ac chromedriver + 188844
6   chromedriver                        0x0000000100476e1c chromedriver + 192028
7   chromedriver                        0x00000001004863d0 chromedriver + 254928
8   chromedriver                        0x000000010049b140 chromedriver + 340288
9   chromedriver                        0x000000010047756c chromedriver + 193900
10  chromedriver                        0x000000010049af64 chromedriver + 339812
11  chromedriver                        0x000000010050ffac chromedriver + 819116
12  chromedriver                        0x00000001004c8fd0 chromedriver + 528336
13  chromedriver                        0x00000001004c9e7c chromedriver + 532092
14  chromedriver                        0x000000010082a834 chromedriver + 4073524
15  chromedriver                        0x000000010082e7fc chromedriver + 4089852
16  chromedriver                        0x000000010082ec58 chromedriver + 4090968
17  chromedriver                        0x00000001008348f8 chromedriver + 4114680
18  chromedriver                        0x000000010082f234 chromedriver + 4092468
19  chromedriver                        0x0000000100809604 chromedriver + 3937796
20  chromedriver                        0x000000010084bee8 chromedriver + 4210408
21  chromedriver                        0x000000010084c064 chromedriver + 4210788
22  chromedriver                        0x000000010085c134 chromedriver + 4276532
23  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
24  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
,,,,,,,,,,"Message: timeout: Timed out receiving message from renderer: 288.820
  (Session info: chrome=118.0.5993.70)
Stacktrace:
0   chromedriver                        0x0000000100864510 chromedriver + 4310288
1   chromedriver                        0x000000010085c4bc chromedriver + 4277436
2   chromedriver                        0x000000010048fb6c chromedriver + 293740
3   chromedriver                        0x0000000100477f54 chromedriver + 196436
4   chromedriver                        0x0000000100477d60 chromedriver + 195936
5   chromedriver                        0x00000001004761ac chromedriver + 188844
6   chromedriver                        0x0000000100476e1c chromedriver + 192028
7   chromedriver                        0x00000001004863d0 chromedriver + 254928
8   chromedriver                        0x000000010049b140 chromedriver + 340288
9   chromedriver                        0x000000010047756c chromedriver + 193900
10  chromedriver                        0x000000010049af64 chromedriver + 339812
11  chromedriver                        0x000000010050ffac chromedriver + 819116
12  chromedriver                        0x00000001004c8fd0 chromedriver + 528336
13  chromedriver                        0x00000001004c9e7c chromedriver + 532092
14  chromedriver                        0x000000010082a834 chromedriver + 4073524
15  chromedriver                        0x000000010082e7fc chromedriver + 4089852
16  chromedriver                        0x000000010082ec58 chromedriver + 4090968
17  chromedriver                        0x00000001008348f8 chromedriver + 4114680
18  chromedriver                        0x000000010082f234 chromedriver + 4092468
19  chromedriver                        0x0000000100809604 chromedriver + 3937796
20  chromedriver                        0x000000010084bee8 chromedriver + 4210408
21  chromedriver                        0x000000010084c064 chromedriver + 4210788
22  chromedriver                        0x000000010085c134 chromedriver + 4276532
23  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
24  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
"3/1223 New North Road, Mount Albert, Auckland City",$580 per week,Unit,3,1,2,Non furnished,,,,
"2/24 West End Road, Herne Bay, Auckland City","$1,795 per week",House,7,2,Non furnished,,,,,
"1006/8 Ronayne Street, Auckland Central, Auckland City",$780 per week,Apartment,2,2,2,Furnished,,,,
"10 Green Lane East, Remuera, Auckland City","$1,250 per week",House,5,2,2,4,Non furnished,,,
"G06/246 Khyber Pass Rd, Newmarket, Auckland City",$750 per week,House,2,1,,,,1 Separate toilet,,
"132 Allum Road, Kohimarama, Auckland City",$500 per week,Unit,1,1,1,Furnished,,,,
"6 Ruarangi Road, Mount Albert, Auckland City",$535 per week,House,1,1,1,Non furnished,,,,
"6E 2 Queen Street, Auckland Central, Auckland City","$1,500 per week",Apartment,2,2,1,,,,,
"39 Sackville Street, Grey Lynn, Auckland City",$420 per week,Unit,1,1,1,Non furnished,,,,
"36D Staveley Avenue, Mount Roskill, Auckland City","$1,000 per week",Unit,4,3,1,1,Non furnished,,,
"2/38 Marjorie Jayne Crescent, Otahuhu, Auckland City",$635 per week,Unit,3,1,1,1,Non furnished,,,
"40 Eastbourne Road, Remuera, Auckland City","$2,980 per week",House,4,4,2,3,,,,
"34 Kingston Street, Auckland Central, Auckland City",$425 per week,Apartment,1,1,,,,8 storey,,
"33/139 Quay Street, Auckland Central, Auckland City",$825 per week,Apartment,1,1,Furnished,,,,,
"1/51 Aranui Road, Mount Wellington, Auckland City",$950 per week,Townhouse,4,3,3,Non furnished,,,,
"145 Quay Street, Auckland Central, Auckland City","$1,800 per week",Apartment,3,2,Furnished,,,,,
"43 Ash Street, Avondale, Auckland City",$750 per week,House,3,2,3,Non furnished,,,,
"5/137 Jervois Road, Herne Bay, Auckland City",$595 per week,Unit,1,1,1,Non furnished,,,,
"717/430 Queen Street, Auckland Central, Auckland City",$580 per week,Apartment,2,1,Furnished,,,,,
"7/118 Grafton Road, Grafton, Auckland City",$690 per week,Unit,3,1,2,,,,,
"L8/30 Symonds Street, Auckland Central, Auckland City",$450 per week,Apartment,2,1,Furnished,,,,,
"3/285 Point Chevalier Road, Point Chevalier, Auckland City",$980 per week,House,4,2,2,,,,,
"6 Winchester Street, Grey Lynn, Auckland City",$870 per week,Apartment,3,1,1,Furnished,,,,
"35 Saxon Street, Waterview, Auckland City","$1,100 per week",House,4,2,1,Furnished,,,,
"1 Enfield Street, Mount Eden, Auckland City","$1,099 per week",Apartment,2,2,1,Furnished,,,,
"161A Portland Road, Remuera, Auckland City","$1,250 per week",House,5,3,3,1,Non furnished,,,
"122/72 Nelson Street, Auckland Central, Auckland City",$495 per week,Apartment,2,1,Furnished,,,,,
"3E/182 Federal St, Auckland Central, Auckland City",$560 per week,House,2,1,,,,,,
"1/341 Hillsborough Road, Hillsborough, Auckland City","$1,000 per week",House,4,3,2,2,Non furnished,,,
"3/70 Ashby Avenue, Saint Heliers, Auckland City",$535 per week,Apartment,2,1,1,,,,,
"2/14 Richard Farrell Avenue, Remuera, Auckland City",$420 per week,House,1,1,1,Non furnished,,,,
,,,,,,,,,,"Message: timeout: Timed out receiving message from renderer: 264.848
  (Session info: chrome=118.0.5993.70)
Stacktrace:
0   chromedriver                        0x0000000100864510 chromedriver + 4310288
1   chromedriver                        0x000000010085c4bc chromedriver + 4277436
2   chromedriver                        0x000000010048fb6c chromedriver + 293740
3   chromedriver                        0x0000000100477f54 chromedriver + 196436
4   chromedriver                        0x0000000100477d60 chromedriver + 195936
5   chromedriver                        0x00000001004761ac chromedriver + 188844
6   chromedriver                        0x0000000100476e1c chromedriver + 192028
7   chromedriver                        0x00000001004863d0 chromedriver + 254928
8   chromedriver                        0x000000010049b140 chromedriver + 340288
9   chromedriver                        0x000000010047756c chromedriver + 193900
10  chromedriver                        0x000000010049af64 chromedriver + 339812
11  chromedriver                        0x000000010050ffac chromedriver + 819116
12  chromedriver                        0x00000001004c8fd0 chromedriver + 528336
13  chromedriver                        0x00000001004c9e7c chromedriver + 532092
14  chromedriver                        0x000000010082a834 chromedriver + 4073524
15  chromedriver                        0x000000010082e7fc chromedriver + 4089852
16  chromedriver                        0x000000010082ec58 chromedriver + 4090968
17  chromedriver                        0x00000001008348f8 chromedriver + 4114680
18  chromedriver                        0x000000010082f234 chromedriver + 4092468
19  chromedriver                        0x0000000100809604 chromedriver + 3937796
20  chromedriver                        0x000000010084bee8 chromedriver + 4210408
21  chromedriver                        0x000000010084c064 chromedriver + 4210788
22  chromedriver                        0x000000010085c134 chromedriver + 4276532
23  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
24  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
"8 Hereford Street, Freemans Bay, Auckland City",$655 per week,Apartment,1,1,1,,,,,
"25 Gibraltar Crescent, Parnell, Auckland City","$3,500 per week",House,3,3,2,,,,,
"52A Carlton Gore Road, Grafton, Auckland City",$580 per week,Unit,2,1,Non furnished,,,,,
"603/1 Enfield Street, Mount Eden, Auckland City","$2,199 per week",Apartment,3,2,2,Furnished,,,,
"3/91 Sarsfield Street, Herne Bay, Auckland City",$850 per week,House,3,1,Non furnished,,,,,
"34 Morning Side Drive, Mount Albert, Auckland City",$580 per week,House,2,1,1,1,Non furnished,,,
"14 Keystone Avenue, Mount Roskill, Auckland City","$1,300 per week",House,5,2,3,Furnished,,,,
"2 Auckland Road, Saint Heliers, Auckland City","$1,875 per week",House,4,3,2,New build,,,,
"10/277 Mt Eden Road, Mount Eden, Auckland City",$675 per week,Apartment,3,1,Non furnished,,,,,
"31 Day Street, Auckland Central, Auckland City",$695 per week,Apartment,1,1,1,Furnished,,,,
"1/35 Brown Street, Ponsonby, Auckland City","$1,000 per week",House,4,1,1,Non furnished,,,,
"72 Nelson Street, Auckland Central, Auckland City",$375 per week,Apartment,1,1,,,,5 storey,,
"7B/15 Mount Street, Auckland Central, Auckland City",$650 per week,Apartment,2,1,1,Furnished,,,,
"4A Prospero Terrace, Mount Albert, Auckland City",$525 per week,Unit,1,1,1,Non furnished,,,,
"4/56 Felton Mathew Ave, Saint Johns, Auckland City",$495 per week,House,2,1,,,,,,
"701/85 Nuffield Street, Newmarket, Auckland City","$1,200 per week",Apartment,2,2,1,,,,,
"35B Wallace Street, Herne Bay, Auckland City","$1,450 per week",House,4,2,2,Non furnished,,,,
"32A Carbine Road, Mount Wellington, Auckland City",$300 per week,House,1,1,3,,,,,
"165A Line Road, Glen Innes, Auckland City",$560 per week,House,3,1,Non furnished,,,,,
"309/59 France Street, Eden Terrace, Auckland City",$800 per week,Apartment,2,1,,,,Pets allowed,,
"5AL/14 Waterloo Quadrant , Auckland Central, Auckland City",$750 per week,Apartment,2,2,115m2,1,,,,
"A/66 Rawhitiroa Road, Kohimarama, Auckland City","$1,550 per week",House,4,3,2,1,Non furnished,,,
"3/14 Tomuri Place, Mount Wellington, Auckland City","$1,100 per week",House,4,4,,,,3 storey,,
"6/14 Tomuri Place, Mount Wellington, Auckland City","$1,100 per week",House,4,4,,,,3 storey,,
"4/14 Tomuri PLace, Mount Wellington, Auckland City","$1,100 per week",House,4,4,,,,3 storey,,
"5/14 Tomuri Place, Mount Wellington, Auckland City","$1,100 per week",House,4,4,,,,3 storey,,
"35 Chesterfield Ave, Glendowie, Auckland City","$1,250 per week",Townhouse,3,2,1,1,Non furnished,,,
"4/3 Eden Crescent, Auckland Central, Auckland City",$700 per week,Apartment,2,1,1,Furnished,,,,
"3C Ngatiawa Street, One Tree Hill, Auckland City",$750 per week,House,3,1,2,,,,,
"2/22 St Leonards Rd, Mount Eden, Auckland City",$440 per week,Unit,1,1,1,,,,,
"430 Queen Street, Auckland Central, Auckland City",$520 per week,Apartment,2,1,,,,17 storey,,
"9 Princes Street, Auckland Central, Auckland City","$2,200 per week",Apartment,2,2,178m2,1,,,,
"32 Queen Mary Avenue, Epsom, Auckland City","$1,850 per week",House,5,3,2,4,Non furnished,,,
"64/139 Quay Street, , Auckland Central, Auckland City","$1,095 per week",Apartment,2,1,,,,,,
"21XX/6 Lorne Street, Auckland Central, Auckland City",$980 per week,Apartment,2,2,1 ensuite,,,,,
"701 Great North Road, Grey Lynn, Auckland City","$1,250 per week",House,5,2,4,Non furnished,,,,
"76 Albert Street, Auckland Central, Auckland City",$530 per week,Apartment,2,1,Furnished,,,,,
"8 Airedale , Auckland Central, Auckland City",$580 per week,Apartment,1,1,,,,10 storey,,
"1 Clare Place, Mount Wellington, Auckland City",$690 per week,House,3,1,,,,1 storey,,
"18 Charlton Avenue, Mount Eden, Auckland City","$1,850 per week",House,5,4,2,2,Furnished,,,
"12 Waima Street, Grey Lynn, Auckland City","$1,500 per week",House,7,2,,,,,,
"57A Anita Avenue, Mount Roskill, Auckland City",$890 per week,Townhouse,4,3,Non furnished,,,,,
"83 Grand Drive, Remuera, Auckland City",$940 per week,Townhouse,3,2,New build,,,,,
"10/5 Orakei Road, Remuera, Auckland City",$635 per week,Unit,1,1,Non furnished,,,,,
"22 Roseville Street, New Windsor, Auckland City",$585 per week,House,3,1,Non furnished,,,,,
"9/3 Eden Crescent, Auckland Central, Auckland City",$620 per week,Apartment,2,1,1,,,,,
"4/326 Mt Eden Road, Mount Eden, Auckland City",$550 per week,Unit,2,1,1,Non furnished,,,,
"33 Dovedale Place, Parnell, Auckland City",$800 per week,Townhouse,3,2,1,,,,,
"21 Parawai Crescent , Ponsonby, Auckland City",$925 per week,House,3,1,Non furnished,,,,,
"7/22 Oak Street, Royal Oak, Auckland City",$320 per week,House,1,1,Non furnished,,,,,
,,,,,,,,,,"Message: timeout: Timed out receiving message from renderer: 247.218
  (Session info: chrome=118.0.5993.70)
Stacktrace:
0   chromedriver                        0x0000000100864510 chromedriver + 4310288
1   chromedriver                        0x000000010085c4bc chromedriver + 4277436
2   chromedriver                        0x000000010048fb6c chromedriver + 293740
3   chromedriver                        0x0000000100477f54 chromedriver + 196436
4   chromedriver                        0x0000000100477d60 chromedriver + 195936
5   chromedriver                        0x00000001004761ac chromedriver + 188844
6   chromedriver                        0x0000000100476e1c chromedriver + 192028
7   chromedriver                        0x00000001004863d0 chromedriver + 254928
8   chromedriver                        0x000000010049b140 chromedriver + 340288
9   chromedriver                        0x000000010047756c chromedriver + 193900
10  chromedriver                        0x000000010049af64 chromedriver + 339812
11  chromedriver                        0x000000010050ffac chromedriver + 819116
12  chromedriver                        0x00000001004c8fd0 chromedriver + 528336
13  chromedriver                        0x00000001004c9e7c chromedriver + 532092
14  chromedriver                        0x000000010082a834 chromedriver + 4073524
15  chromedriver                        0x000000010082e7fc chromedriver + 4089852
16  chromedriver                        0x000000010082ec58 chromedriver + 4090968
17  chromedriver                        0x00000001008348f8 chromedriver + 4114680
18  chromedriver                        0x000000010082f234 chromedriver + 4092468
19  chromedriver                        0x0000000100809604 chromedriver + 3937796
20  chromedriver                        0x000000010084bee8 chromedriver + 4210408
21  chromedriver                        0x000000010084c064 chromedriver + 4210788
22  chromedriver                        0x000000010085c134 chromedriver + 4276532
23  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
24  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
"24 Paku Lane, Mount Wellington, Auckland City",$895 per week,House,4,2,1,1,,,,
"D/72 Fairburn Road, Otahuhu, Auckland City",Additional features,Townhouse,3,2,139m2,1,,,,
"D/72 Fairburn Road, Otahuhu, Auckland City",Otahuhu insights,Townhouse,3,2,139m2,1,,,,
"G01/45 Union Street, Auckland Central, Auckland City",$700 per week,Apartment,2,1,Furnished,,,,,
,,,,,,,,,,"Message: timeout: Timed out receiving message from renderer: 270.312
  (Session info: chrome=118.0.5993.70)
Stacktrace:
0   chromedriver                        0x0000000100864510 chromedriver + 4310288
1   chromedriver                        0x000000010085c4bc chromedriver + 4277436
2   chromedriver                        0x000000010048fb6c chromedriver + 293740
3   chromedriver                        0x0000000100477f54 chromedriver + 196436
4   chromedriver                        0x0000000100477d60 chromedriver + 195936
5   chromedriver                        0x00000001004761ac chromedriver + 188844
6   chromedriver                        0x0000000100476e1c chromedriver + 192028
7   chromedriver                        0x00000001004863d0 chromedriver + 254928
8   chromedriver                        0x000000010049b140 chromedriver + 340288
9   chromedriver                        0x000000010047756c chromedriver + 193900
10  chromedriver                        0x000000010049af64 chromedriver + 339812
11  chromedriver                        0x000000010050ffac chromedriver + 819116
12  chromedriver                        0x00000001004c8fd0 chromedriver + 528336
13  chromedriver                        0x00000001004c9e7c chromedriver + 532092
14  chromedriver                        0x000000010082a834 chromedriver + 4073524
15  chromedriver                        0x000000010082e7fc chromedriver + 4089852
16  chromedriver                        0x000000010082ec58 chromedriver + 4090968
17  chromedriver                        0x00000001008348f8 chromedriver + 4114680
18  chromedriver                        0x000000010082f234 chromedriver + 4092468
19  chromedriver                        0x0000000100809604 chromedriver + 3937796
20  chromedriver                        0x000000010084bee8 chromedriver + 4210408
21  chromedriver                        0x000000010084c064 chromedriver + 4210788
22  chromedriver                        0x000000010085c134 chromedriver + 4276532
23  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
24  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
"PU17/36-38 Parry Road, Mount Wellington, Auckland City",$660 per week,Townhouse,2,1,1,Furnished,,,,
"102 Taniwha Street, Waiotaiki Bay, Auckland City",$600 per week,House,2,1,1,,,,,
"6/960 New North Road, Mount Albert, Auckland City",$650 per week,Apartment,3,1,Non furnished,,,,,
"GF/83 New North Road, Eden Terrace, Auckland City",$530 per week,Apartment,1,1,1,,,,,
"103/70 Pitt Street, Auckland Central, Auckland City",$650 per week,Apartment,2,2,Furnished,,,,,
