Address,Price,Info_1,Info_2,Info_3,Info_4,Info_5,Info_6,Info_7,Info_8,Error
,,,,,,,,,,"Message: timeout: Timed out receiving message from renderer: 237.219
  (Session info: chrome=118.0.5993.70)
Stacktrace:
0   chromedriver                        0x0000000100864510 chromedriver + 4310288
1   chromedriver                        0x000000010085c4bc chromedriver + 4277436
2   chromedriver                        0x000000010048fb6c chromedriver + 293740
3   chromedriver                        0x0000000100477f54 chromedriver + 196436
4   chromedriver                        0x0000000100477d60 chromedriver + 195936
5   chromedriver                        0x00000001004761ac chromedriver + 188844
6   chromedriver                        0x0000000100476e1c chromedriver + 192028
7   chromedriver                        0x00000001004863d0 chromedriver + 254928
8   chromedriver                        0x000000010049b140 chromedriver + 340288
9   chromedriver                        0x000000010047756c chromedriver + 193900
10  chromedriver                        0x000000010049af64 chromedriver + 339812
11  chromedriver                        0x000000010050ffac chromedriver + 819116
12  chromedriver                        0x00000001004c8fd0 chromedriver + 528336
13  chromedriver                        0x00000001004c9e7c chromedriver + 532092
14  chromedriver                        0x000000010082a834 chromedriver + 4073524
15  chromedriver                        0x000000010082e7fc chromedriver + 4089852
16  chromedriver                        0x000000010082ec58 chromedriver + 4090968
17  chromedriver                        0x00000001008348f8 chromedriver + 4114680
18  chromedriver                        0x000000010082f234 chromedriver + 4092468
19  chromedriver                        0x0000000100809604 chromedriver + 3937796
20  chromedriver                        0x000000010084bee8 chromedriver + 4210408
21  chromedriver                        0x000000010084c064 chromedriver + 4210788
22  chromedriver                        0x000000010085c134 chromedriver + 4276532
23  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
24  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
"L2/11 Pakenham Steet, Auckland Central, Auckland City",$75 per week,Carpark,1,,,,,,,
"L2A/8 Upper Queen Street, Auckland Central, Auckland City",$500 per week,Apartment,1,1,Furnished,,,,,
"210 Richmond Road, Grey Lynn, Auckland City","$1,750 per week",House,6,2,2,Non furnished,,,,
"150B Tripoli Road, Point England, Auckland City",$990 per week,House,4,3,2,Non furnished,,,,
"430 Queen Street, Auckland Central, Auckland City",$530 per week,Apartment,2,1,,,,,,
"4H/19 Fleet Street, Eden Terrace, Auckland City",$695 per week,House,2,1,1,,,,,
"104/2 Finch Street, Morningside, Auckland City",$570 per week,House,1,1,,,,,,
"1/65 Selwyn Avenue, Mission Bay, Auckland City",$795 per week,House,3,1,2,Non furnished,,,,
"14 brookland Place, Remuera, Auckland City","$1,250 per week",House,4,3,2,3,1 ensuite,,,
,,,,,,,,,,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""h1[data-test='listing-title']""}
  (Session info: chrome=118.0.5993.70); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000100864510 chromedriver + 4310288
1   chromedriver                        0x000000010085c4bc chromedriver + 4277436
2   chromedriver                        0x000000010048fb6c chromedriver + 293740
3   chromedriver                        0x00000001004d5040 chromedriver + 577600
4   chromedriver                        0x000000010050fe60 chromedriver + 818784
5   chromedriver                        0x00000001004c8fd0 chromedriver + 528336
6   chromedriver                        0x00000001004c9e7c chromedriver + 532092
7   chromedriver                        0x000000010082a834 chromedriver + 4073524
8   chromedriver                        0x000000010082e7fc chromedriver + 4089852
9   chromedriver                        0x000000010082ec58 chromedriver + 4090968
10  chromedriver                        0x00000001008348f8 chromedriver + 4114680
11  chromedriver                        0x000000010082f234 chromedriver + 4092468
12  chromedriver                        0x0000000100809604 chromedriver + 3937796
13  chromedriver                        0x000000010084bee8 chromedriver + 4210408
14  chromedriver                        0x000000010084c064 chromedriver + 4210788
15  chromedriver                        0x000000010085c134 chromedriver + 4276532
16  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
17  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
"406/138 Anzac Ave, Auckland Central, Auckland City",$320 per week,Apartment,1,1,1 ensuite,,,,,
"121/72 Nelson St , Auckland Central, Auckland City",$470 per week,Apartment,2,1,,,,,,
,,,,,,,,,,"Message: timeout: Timed out receiving message from renderer: 291.965
  (Session info: chrome=118.0.5993.70)
Stacktrace:
0   chromedriver                        0x0000000100864510 chromedriver + 4310288
1   chromedriver                        0x000000010085c4bc chromedriver + 4277436
2   chromedriver                        0x000000010048fb6c chromedriver + 293740
3   chromedriver                        0x0000000100477f54 chromedriver + 196436
4   chromedriver                        0x0000000100477d60 chromedriver + 195936
5   chromedriver                        0x00000001004761ac chromedriver + 188844
6   chromedriver                        0x0000000100476e1c chromedriver + 192028
7   chromedriver                        0x00000001004863d0 chromedriver + 254928
8   chromedriver                        0x000000010049b140 chromedriver + 340288
9   chromedriver                        0x000000010047756c chromedriver + 193900
10  chromedriver                        0x000000010049af64 chromedriver + 339812
11  chromedriver                        0x000000010050ffac chromedriver + 819116
12  chromedriver                        0x00000001004c8fd0 chromedriver + 528336
13  chromedriver                        0x00000001004c9e7c chromedriver + 532092
14  chromedriver                        0x000000010082a834 chromedriver + 4073524
15  chromedriver                        0x000000010082e7fc chromedriver + 4089852
16  chromedriver                        0x000000010082ec58 chromedriver + 4090968
17  chromedriver                        0x00000001008348f8 chromedriver + 4114680
18  chromedriver                        0x000000010082f234 chromedriver + 4092468
19  chromedriver                        0x0000000100809604 chromedriver + 3937796
20  chromedriver                        0x000000010084bee8 chromedriver + 4210408
21  chromedriver                        0x000000010084c064 chromedriver + 4210788
22  chromedriver                        0x000000010085c134 chromedriver + 4276532
23  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
24  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
"4/183 Mt Albert Road, Sandringham, Auckland City",$620 per week,Unit,2,1,1,1,Non furnished,,,
"6/245 Gillies Avenue, Epsom, Auckland City","$1,350 per week",House,4,3,2,,,,,
"12/10 Ngauruhoe Street, Mount Eden, Auckland City",$470 per week,Unit,1,1,Non furnished,,,,,
"1/92 Princes Street, Otahuhu, Auckland City",$420 per week,Unit,1,1,1,Non furnished,,,,
,,,,,,,,,,"Message: timeout: Timed out receiving message from renderer: 293.034
  (Session info: chrome=118.0.5993.70)
Stacktrace:
0   chromedriver                        0x0000000100864510 chromedriver + 4310288
1   chromedriver                        0x000000010085c4bc chromedriver + 4277436
2   chromedriver                        0x000000010048fb6c chromedriver + 293740
3   chromedriver                        0x0000000100477f54 chromedriver + 196436
4   chromedriver                        0x0000000100477d60 chromedriver + 195936
5   chromedriver                        0x00000001004761ac chromedriver + 188844
6   chromedriver                        0x0000000100476e1c chromedriver + 192028
7   chromedriver                        0x00000001004863d0 chromedriver + 254928
8   chromedriver                        0x000000010049b140 chromedriver + 340288
9   chromedriver                        0x000000010047756c chromedriver + 193900
10  chromedriver                        0x000000010049af64 chromedriver + 339812
11  chromedriver                        0x000000010050ffac chromedriver + 819116
12  chromedriver                        0x00000001004c8fd0 chromedriver + 528336
13  chromedriver                        0x00000001004c9e7c chromedriver + 532092
14  chromedriver                        0x000000010082a834 chromedriver + 4073524
15  chromedriver                        0x000000010082e7fc chromedriver + 4089852
16  chromedriver                        0x000000010082ec58 chromedriver + 4090968
17  chromedriver                        0x00000001008348f8 chromedriver + 4114680
18  chromedriver                        0x000000010082f234 chromedriver + 4092468
19  chromedriver                        0x0000000100809604 chromedriver + 3937796
20  chromedriver                        0x000000010084bee8 chromedriver + 4210408
21  chromedriver                        0x000000010084c064 chromedriver + 4210788
22  chromedriver                        0x000000010085c134 chromedriver + 4276532
23  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
24  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
,,,,,,,,,,"Message: timeout: Timed out receiving message from renderer: 256.282
  (Session info: chrome=118.0.5993.70)
Stacktrace:
0   chromedriver                        0x0000000100864510 chromedriver + 4310288
1   chromedriver                        0x000000010085c4bc chromedriver + 4277436
2   chromedriver                        0x000000010048fb6c chromedriver + 293740
3   chromedriver                        0x0000000100477f54 chromedriver + 196436
4   chromedriver                        0x0000000100477d60 chromedriver + 195936
5   chromedriver                        0x00000001004761ac chromedriver + 188844
6   chromedriver                        0x0000000100476e1c chromedriver + 192028
7   chromedriver                        0x00000001004863d0 chromedriver + 254928
8   chromedriver                        0x000000010049b140 chromedriver + 340288
9   chromedriver                        0x000000010047756c chromedriver + 193900
10  chromedriver                        0x000000010049af64 chromedriver + 339812
11  chromedriver                        0x000000010050ffac chromedriver + 819116
12  chromedriver                        0x00000001004c8fd0 chromedriver + 528336
13  chromedriver                        0x00000001004c9e7c chromedriver + 532092
14  chromedriver                        0x000000010082a834 chromedriver + 4073524
15  chromedriver                        0x000000010082e7fc chromedriver + 4089852
16  chromedriver                        0x000000010082ec58 chromedriver + 4090968
17  chromedriver                        0x00000001008348f8 chromedriver + 4114680
18  chromedriver                        0x000000010082f234 chromedriver + 4092468
19  chromedriver                        0x0000000100809604 chromedriver + 3937796
20  chromedriver                        0x000000010084bee8 chromedriver + 4210408
21  chromedriver                        0x000000010084c064 chromedriver + 4210788
22  chromedriver                        0x000000010085c134 chromedriver + 4276532
23  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
24  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
"1A/1 Haverstock, Sandringham, Auckland City",$670 per week,House,3,1,1,1,,,,
,,,,,,,,,,"Message: timeout: Timed out receiving message from renderer: 288.722
  (Session info: chrome=118.0.5993.70)
Stacktrace:
0   chromedriver                        0x0000000100864510 chromedriver + 4310288
1   chromedriver                        0x000000010085c4bc chromedriver + 4277436
2   chromedriver                        0x000000010048fb6c chromedriver + 293740
3   chromedriver                        0x0000000100477f54 chromedriver + 196436
4   chromedriver                        0x0000000100477d60 chromedriver + 195936
5   chromedriver                        0x00000001004761ac chromedriver + 188844
6   chromedriver                        0x0000000100476e1c chromedriver + 192028
7   chromedriver                        0x00000001004863d0 chromedriver + 254928
8   chromedriver                        0x000000010049b140 chromedriver + 340288
9   chromedriver                        0x000000010047756c chromedriver + 193900
10  chromedriver                        0x000000010049af64 chromedriver + 339812
11  chromedriver                        0x000000010050ffac chromedriver + 819116
12  chromedriver                        0x00000001004c8fd0 chromedriver + 528336
13  chromedriver                        0x00000001004c9e7c chromedriver + 532092
14  chromedriver                        0x000000010082a834 chromedriver + 4073524
15  chromedriver                        0x000000010082e7fc chromedriver + 4089852
16  chromedriver                        0x000000010082ec58 chromedriver + 4090968
17  chromedriver                        0x00000001008348f8 chromedriver + 4114680
18  chromedriver                        0x000000010082f234 chromedriver + 4092468
19  chromedriver                        0x0000000100809604 chromedriver + 3937796
20  chromedriver                        0x000000010084bee8 chromedriver + 4210408
21  chromedriver                        0x000000010084c064 chromedriver + 4210788
22  chromedriver                        0x000000010085c134 chromedriver + 4276532
23  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
24  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
"20A Jamaica Place, Blockhouse Bay, Auckland City",$800 per week,Townhouse,4,2,1,1 ensuite,,,,
"2/1976 Great North Road, Avondale, Auckland City",$590 per week,Apartment,2,1,,,,1 storey,,
"4D/34 Kingston Street, Auckland Central, Auckland City",$450 per week,Apartment,2,1,Furnished,,,,,
"17 Wimbledon Way, Remuera, Auckland City",$900 per week,House,3,1,2,Furnished,,,,
"72 Nelson Street, Auckland Central, Auckland City",$480 per week,Apartment,2,1,,,,10 storey,,
"13 Linden Street, Mount Roskill, Auckland City",$650 per week,House,2,1,Non furnished,,,,,
"Q/35 Garnet Road, Westmere, Auckland City",$860 per week,Townhouse,3,2,2,1 ensuite,,,,
"7 Elam Street, Parnell, Auckland City","$1,895 per week",House,3,3,265m2,2,,,,
"3/683 Great South Road, Otahuhu, Auckland City",$425 per week,Unit,2,1,Non furnished,,,,,
"301/26 Poynton Terrace, Auckland Central, Auckland City",$795 per week,House,2,2,1,,,,,
"35 Hobson Street, Auckland Central, Auckland City",$465 per week,Apartment,1,1,Furnished,,,,,
"711/22 Nelson Street, Auckland Central, Auckland City",$500 per week,Apartment,1,1,,,,,,
"35A Ronaki Road, Mission Bay, Auckland City","$1,050 per week",House,3,2,1,1,1,Non furnished,,
"65 Selwyn Avenue, Mission Bay, Auckland City",$795 per week,House,3,2,2,Non furnished,,,,
,,,,,,,,,,"Message: timeout: Timed out receiving message from renderer: 287.732
  (Session info: chrome=118.0.5993.70)
Stacktrace:
0   chromedriver                        0x000000010519c510 chromedriver + 4310288
1   chromedriver                        0x00000001051944bc chromedriver + 4277436
2   chromedriver                        0x0000000104dc7b6c chromedriver + 293740
3   chromedriver                        0x0000000104daff54 chromedriver + 196436
4   chromedriver                        0x0000000104dafd60 chromedriver + 195936
5   chromedriver                        0x0000000104dae1ac chromedriver + 188844
6   chromedriver                        0x0000000104daee1c chromedriver + 192028
7   chromedriver                        0x0000000104dbe3d0 chromedriver + 254928
8   chromedriver                        0x0000000104dd3140 chromedriver + 340288
9   chromedriver                        0x0000000104daf56c chromedriver + 193900
10  chromedriver                        0x0000000104dd2f64 chromedriver + 339812
11  chromedriver                        0x0000000104e47fac chromedriver + 819116
12  chromedriver                        0x0000000104e00fd0 chromedriver + 528336
13  chromedriver                        0x0000000104e01e7c chromedriver + 532092
14  chromedriver                        0x0000000105162834 chromedriver + 4073524
15  chromedriver                        0x00000001051667fc chromedriver + 4089852
16  chromedriver                        0x0000000105166c58 chromedriver + 4090968
17  chromedriver                        0x000000010516c8f8 chromedriver + 4114680
18  chromedriver                        0x0000000105167234 chromedriver + 4092468
19  chromedriver                        0x0000000105141604 chromedriver + 3937796
20  chromedriver                        0x0000000105183ee8 chromedriver + 4210408
21  chromedriver                        0x0000000105184064 chromedriver + 4210788
22  chromedriver                        0x0000000105194134 chromedriver + 4276532
23  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
24  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
"J/40A Monteith Crescent, Remuera, Auckland City",$980 per week,House,4,2,4,,,,,
"82 St Marys Road, Saint Marys Bay, Auckland City","$2,300 per week",Apartment,2,3,198m2,4,,,,
"2149B Great North Road, Avondale, Auckland City",$715 per week,House,3,1,132m2,274m2,2,,,
"23 Paget Street, Freemans Bay, Auckland City","$2,450 per week",House,3,3,1,,,,,
"73 Walters Road, Mount Wellington, Auckland City",$560 per week,House,2,1,1,2,Non furnished,,,
"65A Shackleton Road, Mount Eden, Auckland City",$800 per week,House,3,1,Non furnished,,,,,
"252 Mount Albert Road, Sandringham, Auckland City",$875 per week,House,3,2,,,,,,
"503/135 Vincent Street, Auckland Central, Auckland City",$550 per week,Apartment,2,1,Furnished,,,,,
"1A Kowhatu Road, One Tree Hill, Auckland City",$780 per week,House,3,1,,,,,,
"1/74 Walmsley Road, Otahuhu, Auckland City",$480 per week,Unit,2,1,Non furnished,,,,,
"66B Queenstown Road, Onehunga, Auckland City",$525 per week,Unit,2,1,Non furnished,,,,,
"2/46 School Road, Morningside, Auckland City",$700 per week,Unit,2,1,56m2,1,,,,
"11/37 Upland Road, Remuera, Auckland City",$950 per week,Townhouse,3,2,1,,,,,
"137 Quay Street, Auckland Central, Auckland City",$580 per week,Apartment,1,1,,,,,,
"116/77 Halsey Street, Auckland Central, Auckland City",$500 per week,Apartment,1,1,,,,1 storey,,
"3 Warwick Avenue, Westmere, Auckland City","$1,295 per week",House,3,2,1,1,Non furnished,,,
"18 Hobson Street, Auckland Central, Auckland City",$550 per week,Apartment,1,1,,,,,,
"44 Ivanhoe Road, Grey Lynn, Auckland City",$750 per week,House,3,2,2,1,Non furnished,,,
"15 Tamora Lane, Avondale, Auckland City",$875 per week,Townhouse,4,2,1,,,,,
"5/15 Henry Street, Avondale, Auckland City",$790 per week,Townhouse,3,2,1,Non furnished,,,,
"58 Margot Street, Epsom, Auckland City",$820 per week,House,3,2,2,Non furnished,,,,
"514/53 Cook Street, Auckland Central, Auckland City",$520 per week,Apartment,2,1,,,,99 storey,,
"7K/36 Day Street, Auckland Central, Auckland City",$630 per week,Apartment,2,1,1,,,,,
"306/1 Kimiora Street, Three Kings, Auckland City",$740 per week,Apartment,2,2,1,,,,,
"9/3 Rocklands Avenue, Mount Eden, Auckland City",$530 per week,Unit,2,1,1,Non furnished,,,,
"26 Trevola Street, New Windsor, Auckland City",$760 per week,House,3,2,,,,,,
"4A Westwood Terrace, Saint Marys Bay, Auckland City","$1,850 per week",House,5,2,2,,,,,
"76 Ronayne Street, Parnell, Auckland City",$450 per week,Studio,1,1,,,,,,
,,,,,,,,,,"Message: timeout: Timed out receiving message from renderer: 225.173
  (Session info: chrome=118.0.5993.70)
Stacktrace:
0   chromedriver                        0x000000010519c510 chromedriver + 4310288
1   chromedriver                        0x00000001051944bc chromedriver + 4277436
2   chromedriver                        0x0000000104dc7b6c chromedriver + 293740
3   chromedriver                        0x0000000104daff54 chromedriver + 196436
4   chromedriver                        0x0000000104dafd60 chromedriver + 195936
5   chromedriver                        0x0000000104dae1ac chromedriver + 188844
6   chromedriver                        0x0000000104daee1c chromedriver + 192028
7   chromedriver                        0x0000000104dbe3d0 chromedriver + 254928
8   chromedriver                        0x0000000104dd3140 chromedriver + 340288
9   chromedriver                        0x0000000104daf56c chromedriver + 193900
10  chromedriver                        0x0000000104dd2f64 chromedriver + 339812
11  chromedriver                        0x0000000104e47fac chromedriver + 819116
12  chromedriver                        0x0000000104e00fd0 chromedriver + 528336
13  chromedriver                        0x0000000104e01e7c chromedriver + 532092
14  chromedriver                        0x0000000105162834 chromedriver + 4073524
15  chromedriver                        0x00000001051667fc chromedriver + 4089852
16  chromedriver                        0x0000000105166c58 chromedriver + 4090968
17  chromedriver                        0x000000010516c8f8 chromedriver + 4114680
18  chromedriver                        0x0000000105167234 chromedriver + 4092468
19  chromedriver                        0x0000000105141604 chromedriver + 3937796
20  chromedriver                        0x0000000105183ee8 chromedriver + 4210408
21  chromedriver                        0x0000000105184064 chromedriver + 4210788
22  chromedriver                        0x0000000105194134 chromedriver + 4276532
23  libsystem_pthread.dylib             0x000000018a7be26c _pthread_start + 148
24  libsystem_pthread.dylib             0x000000018a7b908c thread_start + 8
"
"321 Kohimaramara Rd, St Heliers, Auckland City","$1,150 per week",House,5,2,2,,,,,
"4/68 Maskell Street, Saint Heliers, Auckland City",$800 per week,House,4,2,Non furnished,,,,,
"3B/1 Ophir Street, Grey Lynn, Auckland City",$695 per week,Apartment,2,1,1,,,,,
"12 Caledonian Place, Blockhouse Bay, Auckland City",$640 per week,House,3,1,Non furnished,,,,,
"1/37 Upland Road, Remuera, Auckland City",$925 per week,Townhouse,3,2,1,1 ensuite,,,,
"4/748 Remuera Road, Remuera, Auckland City",$950 per week,Townhouse,2,2,1,,,,,
"70 Sale Street, Auckland Central, Auckland City",$600 per week,Apartment,1,1,,,,10 storey,,
"1M/94 Dominion Road, Mount Eden, Auckland City",$520 per week,Apartment,1,1,,,,1 storey,,
"C604/176 Broadway, Newmarket, Auckland City",$600 per week,Apartment,2,2,1,,,,,
"30 Bell Road, Remuera, Auckland City","$1,350 per week",House,4,3,2,,,,,
"10/291 Ellerslie-panmure Highway, Mount Wellington, Auckland City",$460 per week,Unit,1,1,1,Non furnished,,,,
"602/145 Symonds Street, Eden Terrace, Auckland City",$700 per week,Apartment,1,1,Furnished,,,,,
"72 Nelson Street, Auckland Central, Auckland City",$475 per week,Apartment,2,1,,,,7 storey,,
"62 Olsen Avenue, Hillsborough, Auckland City",$700 per week,House,3,2,1 ensuite,,,,,
"72 Bassett Road, Remuera, Auckland City","$1,000 per week",House,3,1,Non furnished,,,,,
"40B Lewis Street, Blockhouse Bay, Auckland City",$995 per week,House,4,3,1,2,Non furnished,,,
"2/175a Grey Street, Onehunga, Auckland City",$540 per week,House,1,1,1,,,,,
"206/1 Coden Street, Auckland Central, Auckland City",$520 per week,Apartment,1,1,Non furnished,,,,,
"103/9 Rawalpindi Street, Mount Albert, Auckland City",$620 per week,Apartment,2,1,1,,,,,
"504/43a Gillies Avenue, Newmarket, Auckland City","$1,150 per week",Apartment,3,2,2,,,,,
"28C Claude Road, Epsom, Auckland City","$1,190 per week",House,4,3,3,,,,,
"3/43 Abbotts Way, Remuera, Auckland City",$595 per week,Unit,2,1,2,,,,,
"5/118 Grafton Road, Grafton, Auckland City",$325 per week,Unit,1,1,,,,1 storey,,
"3/12 Kipling Avenue, Epsom, Auckland City",$810 per week,Unit,3,2,Non furnished,,,,,
"A/14 Wheturangi Road, Greenlane, Auckland City",$730 per week,House,2,1,,,,,,
"168B Whitney Street, Blockhouse Bay, Auckland City",$745 per week,Townhouse,3,1,1,Non furnished,,,,
"26 Eaton road, Hillsborough, Auckland City",$850 per week,House,4,2,1,,,,,
"6/78 Rosebank Rd, Avondale, Auckland City",$430 per week,Unit,1,1,,,,,,
"42 Kingsview Road, Mount Eden, Auckland City","$1,400 per week",House,5,2,,,,2 storey,,
